full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
frankbria/ralph-claude-code,9622,9622,720,58,58,-10,https://github.com/frankbria/ralph-claude-code
chauncygu/collection-claude-code-source-code,2822,2822,2456,54,54,18,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,793,793,1758,6,6,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,4202,4202,826,205,205,27,https://github.com/lintsinghua/claude-code-book
wanshuiyin/Auto-claude-code-research-in-sleep,15759,15759,1372,1909,1909,134,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6059,6059,575,55,55,11,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,5903,5903,772,344,344,39,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
huangserva/claude-code-cli,627,627,1304,3,3,-3,https://github.com/huangserva/claude-code-cli
nicedreamzapp/claude-code-local,3260,3260,621,260,260,47,https://github.com/nicedreamzapp/claude-code-local
OneRedOak/claude-code-workflows,3893,3893,563,11,11,-1,https://github.com/OneRedOak/claude-code-workflows
anthropics/claude-code-security-review,6172,6172,677,537,537,75,https://github.com/anthropics/claude-code-security-review
rohitg00/awesome-claude-code-toolkit,2592,2592,935,213,213,91,https://github.com/rohitg00/awesome-claude-code-toolkit
zebbern/claude-code-guide,4603,4603,462,168,168,13,https://github.com/zebbern/claude-code-guide
Windy3f3f3f3f/how-claude-code-works,3588,3588,704,302,302,22,https://github.com/Windy3f3f3f3f/how-claude-code-works
disler/claude-code-hooks-mastery,3910,3910,639,62,62,9,https://github.com/disler/claude-code-hooks-mastery
1rgs/claude-code-proxy,3744,3744,489,36,36,4,https://github.com/1rgs/claude-code-proxy
Maciek-roboblog/Claude-Code-Usage-Monitor,8674,8674,458,156,156,18,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,189,189,282,-1,-1,-2,https://github.com/zstmfhy/Claude-code
alejandrobalderas/claude-code-from-source,2787,2787,754,54,54,10,https://github.com/alejandrobalderas/claude-code-from-source
lorryjovens-hub/claude-code-rust,1660,1660,642,-6,-6,4,https://github.com/lorryjovens-hub/claude-code-rust
777genius/claude-code-source-code,930,930,1091,10,10,-1,https://github.com/777genius/claude-code-source-code
fazxes/Claude-code,236,236,216,9,9,1,https://github.com/fazxes/Claude-code
ding113/claude-code-hub,3351,3351,391,79,79,14,https://github.com/ding113/claude-code-hub
RichardAtCT/claude-code-telegram,2776,2776,419,35,35,19,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2784,2784,414,28,28,3,https://github.com/fuergaosi233/claude-code-proxy
SeemSeam/claude_codex_bridge,3478,3478,341,159,159,18,https://github.com/SeemSeam/claude_codex_bridge
Yuyz0112/claude-code-reverse,2429,2429,413,28,28,8,https://github.com/Yuyz0112/claude-code-reverse
kodu-ai/claude-coder,5222,5222,199,-31,-31,1,https://github.com/kodu-ai/claude-coder
Windy3f3f3f3f/claude-code-from-scratch,2639,2639,538,178,178,29,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
WorldFlowAI/everything-claude-code,2388,2388,365,2388,2388,365,https://github.com/WorldFlowAI/everything-claude-code
Cranot/claude-code-guide,2866,2866,317,17,17,-2,https://github.com/Cranot/claude-code-guide
affaan-m/ECC,250046,250046,37627,16853,16853,2073,https://github.com/affaan-m/ECC
luyao618/Claude-Code-Source-Study,1697,1697,573,64,64,14,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3091,3091,301,77,77,9,https://github.com/Chachamaru127/claude-code-harness
asgeirtj/system_prompts_leaks,64237,64237,10538,3792,3792,682,https://github.com/asgeirtj/system_prompts_leaks
https-deeplearning-ai/sc-claude-code-files,545,545,835,9,9,16,https://github.com/https-deeplearning-ai/sc-claude-code-files
anthropics/claude-code-base-action,970,970,611,46,46,2,https://github.com/anthropics/claude-code-base-action
repowise-dev/claude-code-prompts,1201,1201,395,28,28,8,https://github.com/repowise-dev/claude-code-prompts
krusemediallc/arcads-claude-code,1472,1472,359,430,430,76,https://github.com/krusemediallc/arcads-claude-code
jqueryscript/awesome-claude-code,508,508,556,31,31,76,https://github.com/jqueryscript/awesome-claude-code
AprilNEA/claude-code-source,392,392,606,0,0,-2,https://github.com/AprilNEA/claude-code-source
huangjia2019/claude-code-engineering,1097,1097,385,80,80,21,https://github.com/huangjia2019/claude-code-engineering
multica-ai/andrej-karpathy-skills,210416,210416,21389,14173,14173,1180,https://github.com/multica-ai/andrej-karpathy-skills
guanshan/ClaudeCode,61,61,211,0,0,-1,https://github.com/guanshan/ClaudeCode
disler/pi-vs-claude-code,1668,1668,385,128,128,20,https://github.com/disler/pi-vs-claude-code
JrCx7scC/claude-code-source,376,376,539,6,6,-8,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1503,1503,281,15,15,-1,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3856,3856,279,57,57,14,https://github.com/Pimzino/claude-code-spec-workflow
OrcaWhisper/Claude-Code,94,94,179,8,8,12,https://github.com/OrcaWhisper/Claude-Code
ccplugins/awesome-claude-code-plugins,932,932,454,932,932,454,https://github.com/ccplugins/awesome-claude-code-plugins
digitalsamba/claude-code-video-toolkit,2051,2051,346,236,236,45,https://github.com/digitalsamba/claude-code-video-toolkit
Yeachan-Heo/oh-my-claudecode,39030,39030,3495,961,961,65,https://github.com/Yeachan-Heo/oh-my-claudecode
VILA-Lab/Dive-into-Claude-Code,2097,2097,319,115,115,11,https://github.com/VILA-Lab/Dive-into-Claude-Code
anthropics/skills,174607,174607,20679,10496,10496,1194,https://github.com/anthropics/skills
darcyegb/ClaudeCodeAgents,760,760,69,10,10,0,https://github.com/darcyegb/ClaudeCodeAgents
feiskyer/claude-code-settings,1646,1646,241,37,37,-1,https://github.com/feiskyer/claude-code-settings
xu-xiang/everything-claude-code-zh,1930,1930,315,181,181,19,https://github.com/xu-xiang/everything-claude-code-zh
AICoderTudou/claude-code-tudou,495,495,394,-2,-2,-1,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,596,596,510,2,2,-9,https://github.com/andrew-kramer-inno/claude-code-source-build
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2624,2624,245,92,92,7,https://github.com/centminmod/my-claude-code-setup
daymade/claude-code-skills,1377,1377,218,81,81,6,https://github.com/daymade/claude-code-skills
Njengah/claude-code-cheat-sheet,1916,1916,265,34,34,10,https://github.com/Njengah/claude-code-cheat-sheet
